RIC,CurrentSymbol,CommonName,CurrentMarketValue,TargetWeightPct,TargetValue,DeltaValue,PriceForCalc,SharesToTrade,Action
DUK.N,,Duke Energy Corp,0.0,12.0,7302704.558682857,7302704.558682857,132.5,55115,BUY / ADD
EXC.O,,Exelon Corp,0.0,11.0,6694145.845459286,6694145.845459286,49.36,135619,BUY / ADD
AEP.O,,American Electric Power Company Inc,0.0,10.0,6085587.132235715,6085587.132235715,131.87,46148,BUY / ADD
COP.N,,ConocoPhillips,0.0,9.0,5477028.419012143,5477028.419012143,117.07,46784,BUY / ADD
CVX.N,,Chevron Corp,0.0,8.0,4868469.705788572,4868469.705788572,189.94,25632,BUY / ADD
RTX.N,,RTX Corp,0.0,8.0,4868469.705788572,4868469.705788572,209.76,23210,BUY / ADD
TPL.N,TPL,Texas Pacific Land Corp,2260819.01563106,11.0,6694145.845459286,4433326.829828226,525.03,8444,BUY / ADD
XEL.O,,Xcel Energy Inc,0.0,3.9999999999999996,2434234.8528942857,2434234.8528942857,82.52,29499,BUY / ADD
TPR.N,TPR,Tapestry Inc,2855315.85066529,0.0,0.0,-2855315.85066529,144.15,-19808,SELL TO ZERO
SCCO.N,SCCO,Southern Copper Corp,2867381.47526159,0.0,0.0,-2867381.47526159,184.97,-15502,SELL TO ZERO
HWM.N,HWM,Howmet Aerospace Inc,3877483.52925979,0.0,0.0,-3877483.52925979,250.13,-15502,SELL TO ZERO
FTI.N,FTI,TechnipFMC PLC,4124807.30310468,0.0,0.0,-4124807.30310468,63.02,-65452,SELL TO ZERO
GRMN.N,GRMN,Garmin Ltd,4969621.49593076,0.0,0.0,-4969621.49593076,243.48,-20411,SELL TO ZERO
OMC.N,OMC,Omnicom Group Inc,5120010.3345821,0.0,0.0,-5120010.3345821,84.93,-60285,SELL TO ZERO
HSY.N,HSY,Hershey Co,5217504.82711106,0.0,0.0,-5217504.82711106,224.99,-23190,SELL TO ZERO
A.N,AD,Agilent Technologies Inc,5489299.40145545,0.0,0.0,-5489299.40145545,49.03,-111958,SELL TO ZERO
MT.N,MT,ArcelorMittal SA,5758681.7,0.0,0.0,-5758681.7,47.9,-120223,SELL TO ZERO
PCG.N,PCG,PG&E Corp,5949618.91228523,0.0,0.0,-5949618.91228523,18.18,-327262,SELL TO ZERO
EIX.N,EIX,Edison International,6180080.09301124,0.0,0.0,-6180080.09301124,71.76,-86122,SELL TO ZERO
FDX.N,FDX,FedEx Corp,6185247.38405891,0.0,0.0,-6185247.38405891,359.1,-17224,SELL TO ZERO
